regime,axis_label,sampler_label,method,n,impostor_prior,hidden_fill_scale,proxy_score_mean,proxy_score_sem,true_iou_mean,true_iou_sem,hidden_error_mean,hidden_error_sem,exploitation_gap_mean,exploitation_gap_sem,surface_fraction_mean,visible_occupancy_fraction_mean,view_impostor_rate,scenes
axis_sweep,x,base,naive,256,,,1.0,0.0,0.3370473537604457,0.0,0.7933333333333333,0.0,0.6629526462395543,0.0,0.8701923076923077,0.28365384615384615,1.0,1
axis_sweep,x,base,repaired,256,,,0.9842156862745097,0.0,0.9501779359430605,0.0,0.05882352941176472,0.0,0.03403775033144918,0.0,0.8768115942028986,0.21739130434782608,0.0,1
axis_sweep,xy,base,naive,256,,,1.0,0.0,0.6408450704225352,0.0,0.5930232558139534,0.0,0.35915492957746475,0.0,0.9381443298969072,0.5773195876288659,1.0,1
axis_sweep,xy,base,repaired,256,,,0.978235869831172,0.0,0.9381818181818182,0.0,0.0496894409937888,0.0,0.04005405164935372,0.0,0.9003831417624522,0.4329501915708812,0.0,1
axis_sweep,xyz,base,naive,256,,,1.0,0.0,0.7095588235294118,0.0,0.632,0.0,0.2904411764705882,0.0,0.9792746113989638,0.7616580310880829,1.0,1
axis_sweep,xyz,base,repaired,256,,,1.0,0.0,0.7418181818181818,0.0,0.5546875,0.0,0.2581818181818182,0.0,0.9227053140096618,0.7101449275362319,1.0,1
candidate_count,xy,base,naive,1,,,0.6719788598311206,0.1362085630810737,0.3538895308102593,0.11535182913043467,0.6178291945740217,0.2130881259462318,0.3180893290208613,0.11986353477766662,0.7581318738645849,0.5141077547711179,0.25,4
candidate_count,xy,base,naive,16,,,1.0,0.0,0.355170761349493,0.016991202850182286,0.9860051446321103,0.006551752345965211,0.644829238650507,0.016991202850182262,1.0,0.9744766330202368,1.0,4
candidate_count,xy,base,naive,64,,,1.0,0.0,0.355170761349493,0.016991202850182286,0.9860051446321103,0.006551752345965211,0.644829238650507,0.016991202850182262,1.0,0.9744766330202368,1.0,4
candidate_count,xy,base,naive,256,,,1.0,0.0,0.355170761349493,0.016991202850182286,0.9860051446321103,0.006551752345965211,0.644829238650507,0.016991202850182262,1.0,0.9744766330202368,1.0,4
candidate_count,xy,base,random,1,,,0.6719788598311206,0.1362085630810737,0.3538895308102593,0.11535182913043467,0.6178291945740217,0.2130881259462318,0.3180893290208613,0.11986353477766662,0.7581318738645849,0.5141077547711179,0.25,4
candidate_count,xy,base,random,16,,,0.8368390523703706,0.07414297822816181,0.6244313897851154,0.11336764820916422,0.3541467124458696,0.1778044422983276,0.21240766258525515,0.12917795347827113,0.7312380290852749,0.4329360356859507,0.25,4
candidate_count,xy,base,random,64,,,1.0,0.0,0.40482108525527505,0.04133121992225095,0.9041160672873045,0.051243916433142925,0.595178914744725,0.041331219922250945,0.9662341982701264,0.8484769778233,1.0,4
candidate_count,xy,base,random,256,,,0.8302394859819476,0.08986433083719193,0.526266494196176,0.13910284300811704,0.4863152078933072,0.17834014792656763,0.30397299178577164,0.12049575360994105,0.8670794775400038,0.5015040793846562,0.25,4
candidate_count,xy,base,repaired,1,,,0.6719788598311206,0.1362085630810737,0.3538895308102593,0.11535182913043467,0.6178291945740217,0.2130881259462318,0.3180893290208613,0.11986353477766662,0.7581318738645849,0.5141077547711179,0.25,4
candidate_count,xy,base,repaired,16,,,0.97644697376232,0.01887404443139822,0.7498691717120717,0.11964385492181125,0.3518865678902591,0.18974094606894637,0.22657780205024833,0.1334539854266393,0.7746262265017203,0.4777840355646319,0.5,4
candidate_count,xy,base,repaired,64,,,1.0,0.0,0.5546766147114346,0.037912889442104275,0.6721316196021905,0.050234282474026754,0.4453233852885654,0.03791288944210428,0.8446904629459584,0.5946568403784207,1.0,4
candidate_count,xy,base,repaired,256,,,1.0,0.0,0.5814538785684469,0.028097254221847896,0.6335783638019621,0.039137238550018695,0.4185461214315532,0.028097254221847896,0.855936454583238,0.5698119640994556,1.0,4
hidden_mass_stress,xy,fill_0.40,naive,256,,0.4,1.0,0.0,0.6338028169014085,0.0,0.6046511627906976,0.0,0.3661971830985915,0.0,0.9375,0.5833333333333334,1.0,1
hidden_mass_stress,xy,fill_0.40,repaired,256,,0.4,0.978235869831172,0.0,0.9381818181818182,0.0,0.0496894409937888,0.0,0.04005405164935372,0.0,0.9003831417624522,0.4329501915708812,0.0,1
hidden_mass_stress,xy,fill_1.00,naive,256,,1.0,1.0,0.0,0.6408450704225352,0.0,0.5930232558139534,0.0,0.35915492957746475,0.0,0.9381443298969072,0.5773195876288659,1.0,1
hidden_mass_stress,xy,fill_1.00,repaired,256,,1.0,0.978235869831172,0.0,0.9381818181818182,0.0,0.0496894409937888,0.0,0.04005405164935372,0.0,0.9003831417624522,0.4329501915708812,0.0,1
hidden_mass_stress,xy,fill_2.00,naive,256,,2.0,1.0,0.0,0.6443661971830986,0.0,0.5872093023255813,0.0,0.3556338028169014,0.0,0.9384615384615385,0.5743589743589743,1.0,1
hidden_mass_stress,xy,fill_2.00,repaired,256,,2.0,0.978235869831172,0.0,0.9381818181818182,0.0,0.0496894409937888,0.0,0.04005405164935372,0.0,0.9003831417624522,0.4329501915708812,0.0,1
mixture_stress,xy,impostor_0.10,naive,256,0.1,,1.0,0.0,0.6408450704225352,0.0,0.5930232558139534,0.0,0.35915492957746475,0.0,0.9381443298969072,0.5773195876288659,1.0,1
mixture_stress,xy,impostor_0.10,repaired,256,0.1,,1.0,0.0,0.6526315789473685,0.0,0.5722543352601156,0.0,0.34736842105263155,0.0,0.9447236180904522,0.5628140703517588,1.0,1
mixture_stress,xy,impostor_0.29,naive,256,0.29,,1.0,0.0,0.6408450704225352,0.0,0.5930232558139534,0.0,0.35915492957746475,0.0,0.9381443298969072,0.5773195876288659,1.0,1
mixture_stress,xy,impostor_0.29,repaired,256,0.29,,0.978235869831172,0.0,0.9381818181818182,0.0,0.0496894409937888,0.0,0.04005405164935372,0.0,0.9003831417624522,0.4329501915708812,0.0,1
mixture_stress,xy,impostor_0.45,naive,256,0.45,,1.0,0.0,0.6408450704225352,0.0,0.5930232558139534,0.0,0.35915492957746475,0.0,0.9381443298969072,0.5773195876288659,1.0,1
mixture_stress,xy,impostor_0.45,repaired,256,0.45,,0.9494341775981079,0.0,0.8478260869565217,0.0,0.13043478260869568,0.0,0.10160809064158616,0.0,0.9117647058823529,0.46218487394957986,0.0,1
mixture_stress,xy,impostor_0.60,naive,256,0.6,,1.0,0.0,0.4117647058823529,0.0,1.0,0.0,0.5882352941176471,0.0,1.0,1.0,1.0,1
mixture_stress,xy,impostor_0.60,repaired,256,0.6,,1.0,0.0,0.6836363636363636,0.0,0.5337423312883436,0.0,0.3163636363636364,0.0,0.9057591623036649,0.5863874345549738,1.0,1
repair_ablation,xy,base,consensus_only,256,,,0.9540824071564109,0.0,0.9568345323741008,0.0,0.024844720496894457,0.0,-0.0027521252176898603,0.0,0.8713235294117647,0.4227941176470588,0.0,1
repair_ablation,xy,base,naive,256,,,1.0,0.0,0.6408450704225352,0.0,0.5930232558139534,0.0,0.35915492957746475,0.0,0.9381443298969072,0.5773195876288659,1.0,1
repair_ablation,xy,base,no_consensus,256,,,1.0,0.0,0.6408450704225352,0.0,0.5930232558139534,0.0,0.35915492957746475,0.0,0.9381443298969072,0.5773195876288659,1.0,1
repair_ablation,xy,base,no_surface_penalty,256,,,0.978235869831172,0.0,0.9381818181818182,0.0,0.0496894409937888,0.0,0.04005405164935372,0.0,0.9003831417624522,0.4329501915708812,0.0,1
repair_ablation,xy,base,no_volume,256,,,0.9843656286043829,0.0,0.9501779359430605,0.0,0.07185628742514971,0.0,0.03418769266132238,0.0,0.8768115942028986,0.41304347826086957,0.0,1
repair_ablation,xy,base,random,256,,,0.5843718993621545,0.0,0.31016042780748665,0.0,0.6557377049180328,0.0,0.27421147155466785,0.0,0.944954128440367,0.5,0.0,1
repair_ablation,xy,base,repaired,256,,,0.978235869831172,0.0,0.9381818181818182,0.0,0.0496894409937888,0.0,0.04005405164935372,0.0,0.9003831417624522,0.4329501915708812,0.0,1
repair_ablation,xy,base,volume_surface_only,256,,,0.6564888667331339,0.0,0.15639810426540285,0.0,0.8406593406593407,0.0,0.5000907624677311,0.0,0.9490740740740741,0.48148148148148145,0.0,1
